,market_tms,btc_price,mkt_cap,total_volumes
1928,2021-08-04 11:00:04.724,37995.33168048025,712759713778.352,712759713778.352
1927,2021-08-04 10:00:05.789,37923.34878908983,711880018694.9987,711880018694.9987
1926,2021-08-04 09:00:07.241,37729.0276753115,708384974598.284,708384974598.284
1925,2021-08-04 08:01:02.118,37781.1500522359,710214897892.5862,710214897892.5862
1924,2021-08-04 07:00:08.957,38162.2599962394,716356753912.2074,716356753912.2074
1923,2021-08-04 06:02:32.367,38130.5376279533,715931577178.1514,715931577178.1514
1922,2021-08-04 05:00:55.507,38175.25080520329,716771103119.8408,716771103119.8408
1921,2021-08-04 04:01:50.125,38021.40182801957,715083506913.9033,715083506913.9033
1920,2021-08-04 03:02:24.383,38187.73166611357,717449511732.0105,717449511732.0105
1919,2021-08-04 02:00:58.315,38435.242386444115,721827837266.0502,721827837266.0502
1918,2021-08-04 01:01:46.212,38496.079171594276,722787946496.1648,722787946496.1648
1917,2021-08-04 00:02:01.344,38175.781922696595,717292408948.2461,717292408948.2461
1916,2021-08-03 23:02:16.335,38406.35615629472,723031300070.3738,723031300070.3738
1915,2021-08-03 22:00:18.402,38419.854982006735,720027344216.5435,720027344216.5435
1914,2021-08-03 21:00:13.382,38082.362402591396,714798264517.928,714798264517.928
1913,2021-08-03 20:01:43.420,38128.75362802951,715882105193.9081,715882105193.9081
1912,2021-08-03 19:00:29.614,38165.01326419777,715905659937.0641,715905659937.0641
1911,2021-08-03 18:01:10.571,38154.238540630206,717942096038.676,717942096038.676
1910,2021-08-03 17:02:27.114,38554.66531988937,719391759307.9237,719391759307.9237
1909,2021-08-03 16:00:51.342,38205.20359369892,716969566109.0092,716969566109.0092
1908,2021-08-03 15:02:10.920,38402.571693173835,724590136522.8306,724590136522.8306
1907,2021-08-03 14:01:31.237,38638.22910324112,724460424034.7736,724460424034.7736
1906,2021-08-03 13:01:07.884,38503.23373325773,722900369523.0029,722900369523.0029
1905,2021-08-03 12:00:35.501,38567.077725435796,723588408744.9937,723588408744.9937
1904,2021-08-03 11:02:49.801,38833.62605672512,729054299810.6128,729054299810.6128
1903,2021-08-03 10:01:09.276,38616.042892722035,724650303435.6296,724650303435.6296
1902,2021-08-03 09:03:38.920,38615.57688815249,725071344133.2843,725071344133.2843
1901,2021-08-03 08:01:48.804,38637.94762371959,726147720673.6398,726147720673.6398
1900,2021-08-03 07:01:06.771,38474.68084954944,721357996163.6624,721357996163.6624
