,market_tms,btc_price,mkt_cap,total_volumes
1987,2021-08-06 21:01:04.830,0.068052150220188,7963083.853313076,7963083.853313076
1986,2021-08-06 20:01:34.615,0.068174080878805,7989406.690030044,7989406.690030044
1985,2021-08-06 19:00:49.795,0.068105177063587,7968123.411582307,7968123.411582307
1984,2021-08-06 18:01:44.680,0.06785352977785901,7905209.044845983,7905209.044845983
1983,2021-08-06 17:01:03.002,0.067418852307115,7878054.136277527,7878054.136277527
1982,2021-08-06 16:01:25.127,0.06740806650305001,7884471.0257253405,7884471.0257253405
1981,2021-08-06 15:03:03.860,0.068139014901195,7970868.487358989,7970868.487358989
1980,2021-08-06 14:00:13.724,0.067869698978591,7942712.65933454,7942712.65933454
1979,2021-08-06 13:00:07.189,0.067854148363216,7954396.952561949,7954396.952561949
1978,2021-08-06 12:00:51.505,0.06741453632644301,7903673.089085868,7903673.089085868
1977,2021-08-06 11:01:48.646,0.067859305204268,7936919.969565004,7936919.969565004
1976,2021-08-06 10:01:05.151,0.06794280144447601,7930481.391033787,7930481.391033787
1975,2021-08-06 09:01:31.487,0.067946337004591,7951165.960058538,7951165.960058538
1974,2021-08-06 08:00:02.715,0.06774630856656201,7926400.717067803,7926400.717067803
1973,2021-08-06 07:00:36.171,0.06801283563820501,7956865.964360476,7956865.964360476
1972,2021-08-06 06:01:03.419,0.068866807379882,8066815.018267471,8066815.018267471
1971,2021-08-06 05:03:51.899,0.069139590600705,8072292.347648962,8072292.347648962
1970,2021-08-06 04:01:21.526,0.068535398066631,8011470.822657313,8011470.822657313
1969,2021-08-06 03:00:09.442,0.068809974190823,8053904.323168201,8053904.323168201
1968,2021-08-06 02:00:36.005,0.06951612656938201,8144459.67061021,8144459.67061021
1967,2021-08-06 01:02:38.826,0.068867463153528,8090244.880749522,8090244.880749522
1966,2021-08-06 00:01:06.138,0.06896218467953201,8058881.556833102,8058881.556833102
1965,2021-08-05 23:01:17.530,0.06883392260960401,8063772.373433346,8063772.373433346
1964,2021-08-05 22:00:09.265,0.068803278671149,8049045.993020843,8049045.993020843
1963,2021-08-05 21:00:06.087,0.06862624048022001,7994371.116842497,7994371.116842497
1962,2021-08-05 20:00:57.722,0.068169202136811,7983961.224999703,7983961.224999703
1961,2021-08-05 19:00:20.333,0.068877268116071,8095376.823449176,8095376.823449176
1960,2021-08-05 18:00:17.691,0.069696366632016,8202972.731700196,8202972.731700196
1959,2021-08-05 17:00:01.451,0.070604150530283,8257089.919624202,8257089.919624202
1958,2021-08-05 16:01:19.422,0.07073380458349,8321073.790535415,8321073.790535415
1957,2021-08-05 15:00:11.277,0.07260690839634201,8493606.629100079,8493606.629100079
1956,2021-08-05 14:00:04.953,0.06997248631922601,8102596.964320397,8102596.964320397
1955,2021-08-05 13:02:01.669,0.068047801193272,8040116.605368007,8040116.605368007
1954,2021-08-05 12:00:01.982,0.06898411047024401,8070200.317397699,8070200.317397699
1953,2021-08-05 11:00:14.340,0.068517905934684,7984853.533087177,7984853.533087177
1952,2021-08-05 10:00:38.796,0.067673816714253,7929088.244331661,7929088.244331661
1951,2021-08-05 09:01:11.338,0.06878831196219101,8093085.625785035,8093085.625785035
1950,2021-08-05 08:02:51.451,0.068963457168006,8062312.942494309,8062312.942494309
1949,2021-08-05 07:00:18.314,0.06844882801051701,8021894.33040076,8021894.33040076
1948,2021-08-05 06:00:54.195,0.068550251167713,8016963.2799583655,8016963.2799583655
1947,2021-08-05 05:00:09.138,0.06840548362929401,8022150.436881613,8022150.436881613
1946,2021-08-05 04:01:27.910,0.06894636778463001,8035661.330934959,8035661.330934959
1945,2021-08-05 03:00:22.708,0.06831381456326201,7981929.052319483,7981929.052319483
1944,2021-08-05 02:00:49.326,0.068157178511939,7967999.399915466,7967999.399915466
1943,2021-08-05 01:00:26.273,0.068632862344912,8012343.903292381,8012343.903292381
1942,2021-08-05 00:00:55.465,0.06851597675597401,8028868.396614885,8028868.396614885
1941,2021-08-04 23:01:07.508,0.06840907818003601,8052361.393415884,8052361.393415884
1940,2021-08-04 22:02:14.595,0.06817160157115,7969529.189617377,7969529.189617377
1939,2021-08-04 21:01:44.128,0.06823091235416101,7937111.880132388,7937111.880132388
1938,2021-08-04 20:01:04.501,0.067822442759086,7932892.06805605,7932892.06805605
1937,2021-08-04 19:03:14.466,0.068005665044298,7941632.789831876,7941632.789831876
1936,2021-08-04 18:00:14.626,0.06843107847573901,8003650.623052889,8003650.623052889
1935,2021-08-04 17:01:25.741,0.068656873210908,8033331.7024311535,8033331.7024311535
1934,2021-08-04 16:01:31.794,0.06792555065834001,7936143.080917612,7936143.080917612
1933,2021-08-04 15:01:26.139,0.067428853838606,7887048.678854498,7887048.678854498
1932,2021-08-04 14:01:03.180,0.06677662464233601,7842369.00956349,7842369.00956349
1931,2021-08-04 13:00:02.046,0.06645636448516201,7722374.206170768,7722374.206170768
1930,2021-08-04 12:00:00.458,0.06558570972910101,7671306.69863969,7671306.69863969
1929,2021-08-04 11:00:04.329,0.06580517911542,7687600.23607847,7687600.23607847
1928,2021-08-04 10:00:06.782,0.06580607475064,7696938.740006267,7696938.740006267
1927,2021-08-04 09:00:54.841,0.065515881134785,7648713.755846441,7648713.755846441
1926,2021-08-04 08:00:21.212,0.06555833087658401,7677352.404595779,7677352.404595779
1925,2021-08-04 07:00:09.906,0.06582000579880501,7701056.4416266,7701056.4416266
1924,2021-08-04 06:02:28.795,0.06566196016688501,7699597.432298848,7699597.432298848
1923,2021-08-04 05:00:11.570,0.065736207897856,7683678.704750541,7683678.704750541
1922,2021-08-04 04:01:50.984,0.06560902039187701,7678907.467137125,7678907.467137125
1921,2021-08-04 03:02:23.834,0.06593138303418701,7709292.606924087,7709292.606924087
1920,2021-08-04 02:01:39.877,0.06554457626148401,7666184.680894103,7666184.680894103
