,Unnamed: 0,market_tms,btc_price,mkt_cap,total_volumes,prev,btc_price2,btc_price3,btc_price4,btc_price5,btc_price6,btc_price7,btc_price8,btc_price9,btc_price10,btc_price11,btc_price12,btc_price13,btc_price14,btc_price15,btc_price16,btc_price17,btc_price18,btc_price19,btc_price20,btc_price24,btc_price72,next,n_bp,sell,go,p_go,p_sell,o3_go,o3_sell,conviction_go,conviction_sell,sell_signal,go_signal,dt,bitcoin,isPartial,buy_q,sell_q,q,sell_rev,buy_cost,TRev,TCost,curr_val,cash_flow,hold_val,pnl,algo_rt,trade_ind
2032,2032,2021-08-08 17:00:50.538,43688.80033456925,820482485736.0627,820482485736.0627,44099.92016685909,43894.36025071417,43956.92712311447,44059.46488512289,44225.71205983087,44361.07752980742,44419.494893123,44486.24761085833,44496.29592415508,44524.70425670455,44517.8568594369,44544.17215031765,44558.65595151104,44591.219739297536,44601.261370500084,44619.74730311908,44606.16107091152,44613.37693242365,44589.573656754,44593.721305887,44529.85539530212,43093.53787740196,43814.52692181021,-0.009532780280728348,0,0,0.9820718954334255,0.8246008303949205,0.9758249795339994,0.7925666414791449,75.31139499916024,1.8342726970034469,0,1,2021-08-08,20.0,False,0.7531139499916024,0.0,22.168146639662474,0.0,32902.644990361885,68245.97075436988,881897.6733600874,968499.732327666,-813651.7026057176,65533.20050185388,89314.82922009456,2.362894357915083,1
2031,2031,2021-08-08 16:01:04.770,44099.92016685909,827519525376.0867,827519525376.0867,43939.067824170445,44019.49399551477,44162.002647131325,44364.080351296856,44496.44299978396,44559.623301374704,44553.00032859365,44568.043993626234,44553.112589254,44567.503035681955,44570.4874411984,44598.786489693455,44623.78352708402,44641.548719825856,44638.23323573808,44644.656159944396,44620.59279393578,44620.61578558031,44597.86895501997,44594.07810505769,44500.87760691904,43025.40368320163,43814.52692181021,-0.009532780280728348,0,0,0.986124655780283,0.8281853460701792,0.98441215978088,0.8226280651435458,112.37737369707447,1.9118377121652437,0,1,2021-08-08,20.0,False,1.1237737369707448,0.0,21.415032689670873,0.0,49558.332086022754,68245.97075436988,848995.0283697256,944401.2319851632,-780749.0576153557,66149.88025028864,97502.29411951883,2.473960251335351,1
2030,2030,2021-08-08 15:01:03.602,43939.067824170445,830117527509.4497,830117527509.4497,44669.95477332531,44304.51129874788,44566.15805546238,44676.83173225683,44622.803602965454,44620.220145571104,44583.08765865881,44589.07587138556,44581.89348210989,44601.490863761246,44627.08553818849,44649.372870932544,44659.31391256769,44668.49024434997,44651.07908415071,44648.751355278786,44620.63877722484,44616.70427701513,44590.287255095405,44578.30356496077,44454.06694848873,42955.59447552646,43814.52692181021,-0.009532780280728348,0,0,0.9820152348839365,0.8342031895287657,0.9747990760759979,0.852814670465336,54.229150169412094,1.968355023735148,0,1,2021-08-08,20.0,False,0.542291501694121,0.0,20.29125895270013,0.0,23827.783073409224,68245.97075436988,799436.6962837029,891579.0033604967,-731190.725529333,65908.60173625566,94479.67609490806,2.433495380056527,1
2029,2029,2021-08-08 14:01:03.776,44669.95477332531,838834772690.043,838834772690.043,44985.65485102847,44827.804812176895,44787.50540905127,44688.120873752014,44617.63668817675,44590.0184076449,44595.06408411232,44596.781520054574,44621.088245412604,44635.112960127415,44671.660203676605,44678.94266920063,44677.6665761322,44673.640891718314,44646.42362640686,44636.94763637126,44612.769776805406,44597.66397486343,44566.319874826135,44542.20133962202,44398.40451206828,42883.58858168288,43814.52692181021,-0.009532780280728348,0,0,0.9901871107885023,0.8391042571638366,0.9942277453569558,0.8585291265125841,39.87209734258053,1.9569115127446703,0,1,2021-08-08,20.0,False,0.3987209734258053,0.0,19.74896745100601,0.0,17810.847850106966,68245.97075436988,775608.9132102936,882185.4828563122,-707362.9424559238,67004.93215998798,107817.60824040044,2.60909958065421,1
2028,2028,2021-08-08 13:01:25.723,44985.65485102847,842923316168.8528,842923316168.8528,44508.75716082281,44747.20600592564,44588.736338452756,44531.86209379675,44562.40012711304,44567.79418502848,44598.498955996845,44605.1742039072,44649.13767484222,44668.29909870359,44686.22513472464,44689.73435347683,44669.6152073044,44659.97677811959,44627.47164633567,44613.75036235402,44582.55817292146,44557.231749580125,44518.0828044179,44486.72045200901,44339.59495155144,42808.806638715825,43814.52692181021,-0.009532780280728348,0,0,0.9821049869895265,0.8437844490740033,0.9678382261434398,0.860524386075024,25.39520786846891,1.960605914427172,0,0,2021-08-08,20.0,False,0.0,0.0,19.350246477580203,0.0,0.0,68245.97075436988,757798.0653601866,870483.5093227525,-689552.0946058168,67478.48227654271,113452.93244039301,2.6813201573715926,0
2027,2027,2021-08-08 12:02:12.223,44508.75716082281,835870542709.6222,835870542709.6222,44351.77618113693,44430.266670979865,44474.987849140736,44531.853875704044,44573.18824294392,44591.815122253574,44611.84945181756,44646.262139258004,44687.46052256494,44705.94667816663,44693.243572229,44693.31931097611,44650.3383489348,44637.22329777793,44600.029078372376,44575.75802023086,44531.90532623876,44501.947687297565,44455.35809960011,44424.66570264968,44280.72816806086,42731.59194102067,43814.52692181021,-0.009532780280728348,0,0,0.9840979612556151,0.843728327392999,0.9672448075752956,0.8633678514821299,21.7632087425382,2.1261180053212723,0,0,2021-08-08,20.0,False,0.0,0.0,19.350246477580203,0.0,0.0,68245.97075436988,757798.0653601866,861255.4214726842,-689552.0946058168,66763.13574123422,104940.19112563327,2.5718283744545594,0
2026,2026,2021-08-08 11:01:13.533,44351.77618113693,832921611041.7002,832921611041.7002,44687.641873466295,44519.70902730161,44588.71990226736,44615.74756569194,44610.44200156321,44635.57425617337,44680.67482669845,44718.076196789676,44724.43283376829,44734.261561768464,44693.39504972321,44677.03238359222,44624.10824662103,44597.811537542795,44551.486962089344,44517.94392567175,44471.990048356354,44439.5795504187,44393.973305699255,44359.958785002906,44222.74775994677,42651.9100474577,43814.52692181021,-0.009532780280728348,0,0,0.9821507260261658,0.8438301628811533,0.9715741659259871,0.8746905753326424,26.575261344575143,2.2000748374817545,0,0,2021-08-08,20.0,False,0.0,0.0,19.350246477580203,0.0,0.0,68245.97075436988,757798.0653601866,858217.8008234703,-689552.0946058168,66527.66427170539,102138.0419459482,2.5352717258914517,0
2025,2025,2021-08-08 10:00:05.144,44687.641873466295,839957302053.4783,839957302053.4783,44627.81968099991,44657.730777233104,44642.77522911651,44635.297455058215,44660.70651078353,44699.9342873421,44755.47756688091,44772.015121882265,44744.09028976863,44726.8508621402,44660.66971746123,44622.615456026746,44571.51482846453,44531.4005203813,44484.40088925415,44449.517714547204,44407.16905248103,44370.71246179999,44325.94426430655,44294.03259752776,44160.79053696379,42569.081896548014,43814.52692181021,-0.009532780280728348,0,0,0.9840812565794405,0.845984911438752,0.9842762732709027,0.8863286334254792,92.50949900544886,2.2138440944233277,0,0,2021-08-08,20.0,False,0.0,0.0,19.350246477580203,0.0,0.0,68245.97075436988,757798.0653601866,864716.8847534067,-689552.0946058168,67031.46281019945,108133.32733739054,2.613172722241966,0
2024,2024,2021-08-08 09:29:49.249,44627.81968099991,839153551980.9993,839153551980.9993,44627.81968099991,44627.81968099991,44627.81968099991,44657.339590448195,44739.162063900665,44793.64109365193,44788.552676883635,44782.39319380361,44709.61143451177,44660.53425333785,44584.56119459224,44539.801478938505,44491.28621229804,44453.260367371266,44414.63453984026,44376.829037859774,44334.255871118934,44298.3976366382,44262.12093074896,44230.64475231294,44093.636701070354,42483.58329832736,43814.52692181021,-0.009532780280728348,0,0,0.9821385926227415,0.8460216539496701,0.9716564941656652,0.8892345493731663,26.13076391913777,2.1589895967080226,0,0,2021-08-08,20.0,False,0.0,0.0,19.350246477580203,0.0,0.0,68245.97075436988,757798.0653601866,863559.310584353,-689552.0946058168,66941.72952149987,107065.48645703642,2.5993833326736784,0
2023,2023,2021-08-08 09:28:19.333,44627.81968099991,839153551980.9993,839153551980.9993,44627.81968099991,44627.81968099991,44686.85949989647,44782.599771211535,44848.1201234032,44854.60375681084,44776.2337107236,44718.056367635356,44611.45707216392,44549.26736494749,44495.041763284775,44452.150335039405,44415.23452244451,44376.687517850354,44339.0235358793,44302.80436371465,44262.53940215747,44230.822470036816,44199.168573876916,44164.469316283554,44025.694324559125,42395.9643089127,43814.52692181021,-0.009532780280728348,0,0,0.9821453278801887,0.8463869813676688,0.9722122105233523,0.8980064308389746,25.516799386923957,2.2515444489400487,0,0,2021-08-08,20.0,False,0.0,0.0,19.350246477580203,0.0,0.0,68245.97075436988,757798.0653601866,863559.310584353,-689552.0946058168,66941.72952149987,107065.48645703642,2.5993833326736784,0
