,Unnamed: 0,market_tms,btc_price,mkt_cap,total_volumes,prev,btc_price2,btc_price3,btc_price4,btc_price5,btc_price6,btc_price7,btc_price8,btc_price9,btc_price10,btc_price11,btc_price12,btc_price13,btc_price14,btc_price15,btc_price16,btc_price17,btc_price18,btc_price19,btc_price20,btc_price24,btc_price72,next,n_bp,sell,go,p_go,p_sell,o3_go,o3_sell,conviction_go,conviction_sell,sell_signal,go_signal,dt,ethereum,isPartial,buy_q,sell_q,q,sell_rev,buy_cost,TRev,TCost,curr_val,cash_flow,hold_val,pnl,algo_rt,trade_ind
2031,2031,2021-08-08 16:01:33.688,0.068971761195603,8073636.243994103,8073636.243994103,0.068997081443175,0.068984421319389,0.06914351171290425,0.06932689014240925,0.069458988273072,0.06955498515060383,0.06961352202452925,0.0696860074132489,0.06973745145698769,0.06980173087897727,0.06984242627285185,0.0698975675054476,0.06991774398944957,0.06996171882139622,0.0699819687313392,0.07002022896733513,0.07004888647271815,0.07008932093555985,0.07011885855860522,0.07015407631637423,0.07023233937435085,0.06897302450027383,0.0683907352283643,-0.02774587479183721,0,0,0.9465227775734472,0.8279874903840575,0.960187999092273,0.9054357543149574,6.091873043315196,1.3115282953937457,0,0,2021-08-08,36.0,False,0.0,0.0,576.6586199456324,0.0,0.0,1.7112057661987494,35.73314537011042,39.773160626276145,-34.02193960391167,1.931209313476884,3.820011708887592,2.978041262658459,0
2030,2030,2021-08-08 15:01:11.016,0.068997081443175,8056906.544445192,8056906.544445192,0.069608122769664,0.0693026021064195,0.06951026857191425,0.06962372489050299,0.06965098202813565,0.06971319591189444,0.06975849280196857,0.06982388412849407,0.06986601030096684,0.06992371230635054,0.0699527087380433,0.06999060698569025,0.07000569365334287,0.07003917176819054,0.07005848920333103,0.07009432868212946,0.07012975539840152,0.07016407766325755,0.07018929407414329,0.07021745952526055,0.07028374937061731,0.06892288605137496,0.0683907352283643,-0.02774587479183721,0,0,0.9449599644236257,0.826532189153609,0.9454963798067209,0.9050645879243223,5.002662273604944,1.2998135264668627,0,0,2021-08-08,36.0,False,0.0,0.0,576.6586199456324,0.0,0.0,1.7112057661987494,35.73314537011042,39.787761765297695,-34.02193960391167,1.9319182804089,3.833903880977126,2.98450623913847,0
2029,2029,2021-08-08 14:01:04.061,0.069608122769664,8143533.493276863,8143533.493276863,0.069827747305154,0.069717935037409,0.06973718120909175,0.06974234268709711,0.0697754097956532,0.06982641869370973,0.06988927545501955,0.06993923498168596,0.06998141431173423,0.07001716895837604,0.07002850523333716,0.07005538702105386,0.07007264988303816,0.07009839748908213,0.07013016816092787,0.07016401820722942,0.07019839992811362,0.07022584091869703,0.07024562497637786,0.07026802034194315,0.07033328503512888,0.06887593713882241,0.0683907352283643,-0.02774587479183721,0,0,0.943183952027606,0.8230599898236186,0.9428977396844821,0.8966310441297837,4.851758493378256,1.2865445817119927,0,0,2021-08-08,36.0,False,0.0,0.0,576.6586199456324,0.0,0.0,1.7112057661987494,35.73314537011042,40.14012401336059,-34.02193960391167,1.9490274375505918,4.16915697189833,3.139096090477746,0
2028,2028,2021-08-08 13:01:17.581,0.069827747305154,8166828.299793317,8166828.299793317,0.069685107456395,0.0697564273807745,0.0697475041651025,0.06979185906606587,0.06987742759176623,0.06993929524602861,0.06998919450835238,0.07003103905299124,0.07005292360501784,0.07007274341680725,0.07008226880877054,0.07010370175340888,0.07012414509512607,0.07015482099111081,0.07019786825353098,0.0702259812019798,0.07025328190928044,0.07027874261971057,0.07029041570750844,0.07031306325077928,0.07037905080670134,0.0688334695887902,0.0683907352283643,-0.02774587479183721,0,0,0.9405203283404489,0.830446365343104,0.9530957025051898,0.9127432171053409,5.119867802671991,1.2978572721906219,0,0,2021-08-08,36.0,False,0.0,0.0,576.6586199456324,0.0,0.0,1.7112057661987494,35.73314537011042,40.26677239490245,-34.02193960391167,1.9551769245443118,4.289655866446473,3.193998820565178,0
2027,2027,2021-08-08 12:02:11.740,0.069685107456395,8163420.340446886,8163420.340446886,0.069792054442466,0.0697385809494305,0.06983621396702924,0.06993245413639212,0.070001162900291,0.07005023489332228,0.07007288359763014,0.07010040593991013,0.07009256322859664,0.07011313265532608,0.07012513469804722,0.07014975575047215,0.07018549688709555,0.0702181675226399,0.0702540941504286,0.0702835289254498,0.07030420333014066,0.07032913479498354,0.07033571079405018,0.0703537443389813,0.07042276675617967,0.0687954402365066,0.0683907352283643,-0.02774587479183721,0,0,0.9382323643521248,0.8309776672524279,0.9524073400700652,0.9016958014370986,5.179095365778012,1.3216607154298656,0,0,2021-08-08,36.0,False,0.0,0.0,576.6586199456324,0.0,0.0,1.7112057661987494,35.73314537011042,40.18451789656784,-34.02193960391167,1.95118300877906,4.211395283877112,3.1583804619702813,0
2026,2026,2021-08-08 11:01:14.904,0.069792054442466,8167059.353718325,8167059.353718325,0.07007563952679,0.069933846984628,0.070028694305755,0.07008809349134149,0.07009930688635355,0.07012758426057829,0.07012792828219012,0.0701329582164736,0.07013370208205552,0.07015109422371507,0.07017437680289705,0.07020148984248016,0.07025083815818425,0.07028142645222893,0.07031296370047097,0.07034234998147017,0.07035406625982642,0.0703721966402223,0.07037177788391245,0.07039153146488596,0.07045847813929224,0.06876026443753515,0.0683907352283643,-0.02774587479183721,0,0,0.9392313003873137,0.8286703981532694,0.9481720490230526,0.8935961216937891,5.105841708712829,1.2692015591185912,0,0,2021-08-08,36.0,False,0.0,0.0,576.6586199456324,0.0,0.0,1.7112057661987494,35.73314537011042,40.246189797962884,-34.02193960391167,1.954177524389048,4.270072669662167,3.1850996730694456,0
2025,2025,2021-08-08 10:00:05.221,0.07007563952679,8210506.526942222,8210506.526942222,0.070171443726974,0.070123541626882,0.07014749267692799,0.0701496889668625,0.07015586163480299,0.07015669437912928,0.07013798815075707,0.07014796357396959,0.07016848636537461,0.07018214484448232,0.07022860288206326,0.07026423100477977,0.07031201474627359,0.07034638992196997,0.07037173626246937,0.07039057077349918,0.07039032702061816,0.07040513550777748,0.07041128504585946,0.07042976094643204,0.07048247064566214,0.06872758786806296,0.0683907352283643,-0.02774587479183721,0,0,0.9426815548367928,0.8231592646232939,0.9475658676900612,0.8949919104880586,5.26548550932129,1.2515565761345893,0,0,2021-08-08,36.0,False,0.0,0.0,576.6586199456324,0.0,0.0,1.7112057661987494,35.73314537011042,40.40972158132632,-34.02193960391167,1.96211790675012,4.425664070664535,3.2555546001793623,0
2024,2024,2021-08-08 09:29:50.488,0.070171443726974,8204730.922360816,8204730.922360816,0.070171443726974,0.070171443726974,0.070151885256797,0.07015611016321613,0.07015752712345556,0.07014876224422194,0.07015793899718213,0.07016326235137473,0.07019580332359,0.0702299267930424,0.07029985912749624,0.07034137719558384,0.07038076509766633,0.07040651913996797,0.07040940528452899,0.07042596715662355,0.07041994399493676,0.07043625250029437,0.0704482368470046,0.07046133006486151,0.07050041794734531,0.0686975565266747,0.0683907352283643,-0.02774587479183721,0,0,0.9451806738151697,0.8217813685692086,0.9548736298186051,0.9050298560625946,5.168753211334493,1.264362521411219,0,0,2021-08-08,36.0,False,0.0,0.0,576.6586199456324,0.0,0.0,1.7112057661987494,35.73314537011042,40.464967899189425,-34.02193960391167,1.964800424355272,4.478227870922484,3.2792278622354054,0
2023,2023,2021-08-08 09:26:43.186,0.070171443726974,8204730.922360816,8204730.922360816,0.070093209846266,0.07013232678662,0.07016033506963525,0.07016979168952338,0.07013999736498833,0.07013996086934916,0.07016858570556732,0.07019409657627135,0.07026405026249476,0.07032277550661525,0.07038289526367139,0.07041776482867719,0.07043227318226965,0.07045240588329306,0.0704425290287181,0.07045401048088644,0.07045256100565198,0.0704637938741344,0.07047442328271841,0.07048335054440848,0.07051338688309973,0.06866951231095991,0.0683907352283643,-0.02774587479183721,0,0,0.9575157598883715,0.8197375156275772,0.9736237422240168,0.9063894126880934,6.273132794193998,1.2676985273986152,0,0,2021-08-08,36.0,False,0.0,0.0,576.6586199456324,0.0,0.0,1.7112057661987494,35.73314537011042,40.464967899189425,-34.02193960391167,1.964800424355272,4.478227870922484,3.2792278622354054,0
2022,2022,2021-08-08 08:00:06.184,0.070093209846266,8203006.843776758,8203006.843776758,0.070283476859035,0.0701883433526505,0.0701792483094115,0.07013151904812062,0.07013992437370999,0.07016212300934839,0.07021960744697539,0.0702875141670766,0.07038150075073571,0.07042603968202894,0.07045263439368293,0.07048293838860276,0.07047253858431649,0.0704856648576433,0.07046549193305476,0.07047222885999034,0.0704750267426168,0.070481768404628,0.0704922778060985,0.07050289773357135,0.0705161521138064,0.06864334446220517,0.0683907352283643,-0.02774587479183721,0,0,0.9522550306928999,0.8186888302989442,0.9628339306766968,0.9031040907311244,6.163786591356274,1.2775167059885202,0,0,2021-08-08,36.0,False,0.0,0.0,576.6586199456324,0.0,0.0,1.7112057661987494,35.73314537011042,40.41985365750737,-34.02193960391167,1.9626098756954482,4.4353041779002504,3.2599010801006014,0
